 	X	Y
1	947.500	8.500
2	607.500	10.500
3	841.500	11.500
4	1173.500	17.500
5	1112.500	18.500
6	134.500	19.500
7	382.500	21.500
8	246.500	29.500
9	738.500	29.500
10	1232.500	33.500
11	497.500	36.500
12	587.500	38.500
13	641.500	44.500
14	809	44.500
15	1307.500	44.500
16	57.500	47.500
17	1360.500	47.500
18	533.500	52.500
19	983.500	52.500
20	120.500	55.500
21	1204.500	55.500
22	718.500	57.500
23	204.500	59.500
24	1102.500	59.500
25	581.500	61.500
26	882.500	62.500
27	159.500	63.500
28	927.500	63.500
29	1055.500	64.500
30	413.500	65.500
31	1166.500	68.500
32	309.500	69.500
33	1256.500	69.500
34	95.500	75.500
35	444.500	78.500
36	762.500	85.500
37	807.500	88.500
38	286.500	91.500
39	515.500	91.500
40	1355.500	91.500
41	1016.500	93.500
42	140.500	96.500
43	64.500	98.500
44	610.500	98.500
45	692.500	101.500
46	544.500	102.500
47	916	103.500
48	739.500	109.500
49	974.500	109.500
50	1085.500	110.500
51	1236.500	111.500
52	1153.500	112.500
53	236.500	114.500
54	410.500	115.500
55	789.500	115.500
56	647.500	116.500
57	883.500	116.500
58	1341.500	116.500
59	340.500	117.500
60	197.500	119.500
61	263.500	120.500
62	98.500	121.500
63	16.500	124.500
64	588.500	124.500
65	1286.500	129.500
66	460.500	131.500
67	164.500	134.500
68	847	136.500
69	773.500	140.500
70	1054.500	143.500
71	643.500	144.500
72	717.500	146.500
73	942.500	148.500
74	560	149.500
75	1178.500	152.500
76	304.500	153.500
77	1009	154.500
78	1120.500	155.500
79	1230.500	158.500
80	615.500	159.500
81	1282.500	159.500
82	262.500	162.500
83	502.500	163.500
84	886.500	166.500
85	447.500	170.500
86	189.500	174.500
87	80.500	176.500
88	127.500	177.500
89	1075.500	178
90	1352.500	183.500
91	1320.500	185.500
92	823.500	186.500
93	769.500	188.500
94	1255	190.500
95	386.500	191.500
96	1140.500	191.500
97	238.500	192.500
98	996.500	194.500
99	322.500	195.500
100	642.500	195.500
101	589.500	196.500
102	703.500	197.500
103	1375.500	197.500
104	901.500	201.500
105	529.500	204.500
106	1041.500	205.500
107	209.500	207.500
108	951.500	211.500
109	1095.500	211.500
110	1213.500	212.500
111	148.500	214.500
112	498.500	216.500
113	1166.500	217.500
114	293.500	220.500
115	58.500	223.500
116	1318.500	225.500
117	927.500	227.500
118	111.500	230.500
119	611.500	232.500
120	673.500	232.500
121	1006.500	233.500
122	891.500	237.500
123	733.500	238.500
124	835.500	244.500
125	1117.500	244.500
126	386	245.500
127	242.500	247.500
128	1067.500	247.500
129	331.500	248.500
130	794.500	249.500
131	1187.500	249.500
132	1238	249.500
133	79.500	250.500
134	1288.500	252.500
135	191.500	253.500
136	289.500	258.500
137	433.500	263.500
138	868.500	263.500
139	1344.500	266.500
140	581.500	270.500
141	159.500	271.500
142	693.500	271.500
143	535.500	272.500
144	1158.500	274.500
145	936.500	282.500
146	265.500	284.500
147	778.500	284.500
148	99.500	285.500
149	670.500	285.500
150	1209.500	285.500
151	213.500	295.500
152	827.500	297.500
153	1258.500	297.500
154	1029.500	299.500
155	990.500	303.500
156	459.500	307.500
157	1133.500	308.500
158	57.500	309.500
159	366.500	309.500
160	318.500	310.500
161	175.500	311.500
162	587.500	312.500
163	427.500	315.500
164	1225.500	319.500
165	1306.500	319.500
166	701.500	328.500
167	1069.500	329.500
168	661.500	330.500
169	762.500	330.500
170	928.500	330.500
171	620.500	331.500
172	107.500	334.500
173	561.500	334.500
174	830.500	336.500
175	990.500	336.500
176	737.500	340.500
177	794.500	345.500
178	427.500	346.500
179	60.500	347.500
180	216.500	349.500
181	152	350.500
182	485.500	351.500
183	276.500	352.500
184	1290.500	356.500
185	864.500	359.500
186	1360.500	359.500
187	317.500	364.500
188	947.500	367
189	404.500	370.500
190	185.500	371.500
191	361	373.500
192	1176.500	374.500
193	20.500	377.500
194	125.500	377.500
195	585.500	378.500
196	230	380.500
197	1201.500	381
198	753.500	381.500
199	466.500	383.500
200	817.500	383.500
201	509.500	388.500
202	1087.500	390.500
203	73.500	391.500
204	632.500	392.500
205	676.500	393.500
206	1287.500	394.500
207	1033.500	396.500
208	293	399.500
209	883.500	401.500
210	705.500	407.500
211	425.500	409.500
212	382.500	412.500
213	748.500	412.500
214	197.500	414.500
215	1319.500	414.500
216	266	415.500
217	836.500	418.500
218	163.500	419.500
219	608.500	419.500
220	1238.500	419.500
221	38	421.500
222	1101	423
223	327.500	424.500
224	803	424.500
225	116.500	425.500
226	1145.500	425.500
227	550.500	429.500
228	1204.500	430.500
229	642.500	441.500
230	517.500	444.500
231	444.500	445.500
232	685.500	447.500
233	237	451.500
234	772.500	452.500
235	858.500	453.500
236	1337.500	453.500
237	408.500	454.500
238	941.500	456.500
239	1254.500	457.500
240	18.500	459.500
241	134.500	459.500
242	1008.500	464.500
243	351.500	465.500
244	1364.500	465.500
245	181.500	468.500
246	267.500	468.500
247	907.500	472.500
248	316.500	473.500
249	65.500	474.500
250	574.500	477.500
251	511.500	480.500
252	643.500	481.500
253	687.500	481.500
254	790.500	491.500
255	1313.500	496.500
256	436.500	497.500
257	1123.500	497.500
258	135.500	499.500
259	966	500.500
260	1080.500	500.500
261	481.500	502.500
262	239.500	503.500
263	42.500	505.500
264	853.500	505.500
265	760.500	506.500
266	1031.500	506.500
267	408.500	508.500
268	374.500	509.500
269	678.500	509.500
270	181.500	514.500
271	270.500	515.500
272	344.500	517.500
273	1367.500	521.500
274	1170.500	523.500
275	91.500	526.500
276	1328.500	531.500
277	654	533.500
278	732.500	533.500
279	812.500	535.500
280	134.500	536.500
281	893.500	542.500
282	567.500	546.500
283	174.500	548.500
284	858.500	548.500
285	1048.500	548.500
286	284.500	549.500
287	344.500	550.500
288	503	550.500
289	399.500	551.500
290	702.500	551.500
291	968.500	551.500
292	613.500	552.500
293	230.500	554.500
294	460	555.500
295	532.500	557.500
296	71.500	561
297	790.500	569.500
298	1344.500	569.500
299	1205.500	571.500
300	1242.500	571.500
301	1023.500	574.500
302	750.500	575.500
303	33.500	578.500
304	1370.500	580.500
305	306	582.500
306	680.500	584.500
307	248.500	585.500
308	191.500	588.500
309	830.500	588.500
310	130.500	589.500
311	990.500	589.500
