 	X	Y
1	1180.500	5.500
2	797.500	7.500
3	890.500	8.500
4	246.500	12.500
5	938	12.500
6	1087.500	21.500
7	162.500	22.500
8	657.500	24.500
9	1126.500	24.500
10	843.500	29.500
11	1227.500	31.500
12	606.500	36.500
13	1283.500	37.500
14	715.500	39.500
15	1370.500	41
16	517.500	42.500
17	987.500	44.500
18	180.500	51.727
19	77.500	54.500
20	1154.500	58.500
21	1285.500	63.500
22	114.500	66.500
23	434.500	71.500
24	388	72.500
25	1065.500	74.500
26	1219.500	76.500
27	949.500	79.500
28	1124.500	81.500
29	513.500	85.500
30	1348.500	85.500
31	901.500	86.500
32	1160.500	90.500
33	701.500	91.500
34	605.500	93.500
35	68.500	99.500
36	770.500	99.500
37	424.500	111.500
38	824.500	111.500
39	1093.500	112.500
40	960.500	118.500
41	529.500	119.500
42	100	121.500
43	890	123.500
44	1054.500	125.500
45	1343.500	130.500
46	18.500	133
47	1152.500	139.500
48	224.500	140.500
49	665.500	147
50	425.500	149.500
51	360.500	151.500
52	621.500	155
53	818.500	155.500
54	962.500	157.500
55	1220.500	157.500
56	495.500	159.500
57	300.500	161.500
58	751.500	168
59	71.500	170.500
60	1102.500	170.500
61	880.500	173.500
62	1340.500	177.500
63	1013.500	182.500
64	1264.500	183.500
65	1373.500	185.500
66	660.500	189.500
67	415	194.500
68	366.500	195.500
69	1136.500	198.500
70	89.500	201.500
71	748.500	201.500
72	490.500	205.500
73	939.500	211.500
74	199.500	213.500
75	560.500	213.500
76	281.500	214.500
77	804.500	214.500
78	12.500	216.500
79	999.500	226.500
80	889	230
81	362.500	236.500
82	1250.500	243.500
83	152.500	248.500
84	1193.500	248.500
85	481.500	249.500
86	1326.500	250.500
87	277.500	255.500
88	658.500	257
89	728.500	256.500
90	578.500	258.500
91	1123.500	258.500
92	1379.500	259.500
93	59.500	262.500
94	1058.500	266.500
95	786.500	268.500
96	190.500	271.500
97	22.500	279.500
98	310.500	282.500
99	993.500	284.500
100	1208.124	286.124
101	372.500	289.500
102	471.500	293.500
103	146.500	294.500
104	919.500	298.500
105	430.500	300.500
106	843.500	301.500
107	264.500	307.500
108	55.500	310.500
109	182.500	311.500
110	1243.500	311.500
111	651.500	314.500
112	1091.500	314.500
113	1008.500	315.500
114	1152.500	317.500
115	719.500	322.500
116	1047.500	324.500
