 	X	Y
1	111.500	4.500
2	1068.500	5
3	575.500	5.500
4	780.500	7.500
5	476.500	11.500
6	1118.500	15.500
7	1168.500	23.500
8	180.500	26.500
9	236.500	27.500
10	701.876	34.876
11	1296.500	36.500
12	577.500	39.500
13	617.500	41.500
14	1363.500	42.500
15	863.500	44.500
16	413.500	50.500
17	61.876	57.124
18	1071.500	58.500
19	1343.500	65.500
20	730.500	66.500
21	479.500	73.500
22	945.500	77.500
23	1254.500	81.500
24	118	82.500
25	1183.500	83.500
26	178.500	85.500
27	292.500	86.500
28	644.500	96.500
29	874.500	98.500
30	829.500	110.500
31	493.500	112.500
32	243.500	115.500
33	1073.500	116.500
34	1147.500	116.500
35	97.500	117.500
36	782.500	118.500
37	954.500	120.500
38	1375.500	120.500
39	1236.500	121.500
40	433.500	123.500
41	734.500	127.500
42	190.500	134.500
43	377.500	136.500
44	1311.500	138.500
45	593.500	140.500
46	1173.500	140.500
47	265.500	157.500
48	706.500	158.500
49	886.500	165.500
50	1203.500	166.500
51	966.500	172.500
52	7.500	173.500
53	98.500	174.500
54	1294.500	176.500
55	195.500	178.500
56	1080.500	179.500
57	769.500	183.500
58	500.500	187.500
59	541.500	194.500
60	627.500	196.500
61	814.500	201.500
62	296.500	204.500
63	1180.500	207.500
64	1379.500	208.500
65	919.500	210.500
66	102.500	211.500
67	734.500	220.500
68	388.500	225.500
69	199.500	226.500
70	1321.500	227.500
71	1093.500	231.500
72	776.500	235.500
73	427.500	237.500
74	1287.500	252.500
75	261.500	253.500
76	307.500	256.500
77	1128.500	257.500
78	887	260.500
79	1383.500	261.500
80	86.500	262.500
81	643.500	264.500
82	940.500	264.500
83	987.500	265.500
84	1185.500	266.500
85	206.500	272.500
86	11.500	276.500
87	137.500	278.500
88	721.500	281.500
89	1104.500	281.500
90	498.500	285.500
91	1329.500	286.500
92	760.500	295.500
93	807.500	296.500
94	1216.500	302.500
95	909.500	306.500
96	667.500	309.500
97	274.500	315.500
98	565.500	324.500
99	1310.500	332.500
100	219.500	337.500
101	1121.500	346.500
102	963.500	348.500
103	632.500	354.500
104	1177.500	354.500
105	890.500	357.500
106	796.500	358.500
107	751	365.500
108	123.500	368
109	355.500	380.500
110	219.500	383.500
111	994.500	396.500
112	677.500	400.500
113	1235.500	410.500
114	1181.500	411.500
115	1303.500	415.500
116	225.500	422.500
117	420.500	423.500
118	365.500	428.500
119	780.500	435.500
120	648.500	437.500
121	153.500	438.500
122	539.500	438.500
123	931.500	444.500
124	1133.500	444.500
125	739.500	445.500
126	854.500	445.500
127	19.500	447.500
128	472.500	447.500
129	1347.500	451.500
130	1007.500	458.500
131	1252.500	469.500
132	215.500	470.500
133	98.500	472.500
134	333.500	476.500
135	730.500	486.500
136	1143.500	487.500
137	1202.500	488.500
138	25.500	492.500
139	1360.500	495.500
140	475.500	497.500
141	145	498.500
142	364.500	502.500
143	523.500	502.500
144	919.500	503.500
145	1316.500	504.500
146	655.500	505.500
147	438.500	506.500
148	301.500	515.500
149	235.500	520.500
150	1252.500	520.500
151	837.500	521.500
152	597.500	523.500
153	1202.500	538.500
154	553.500	544.500
155	702.500	546.500
156	792.500	550.500
157	1151.500	550.500
158	961.500	551.500
159	1364.500	554.500
160	183	561.500
161	845.500	566.500
162	1328.500	567.500
163	1024	570.500
164	666.500	573.500
165	1260.500	575.500
166	142.500	580.500
167	434.500	585.500
168	1179.500	591.500
169	935.500	596.500
170	37.500	599.500
171	987.500	603.500
172	311	606.500
173	184.500	614.500
174	827.500	614.500
175	355.500	615.500
176	146.500	621.500
177	383.500	627.500
178	1358.500	627.500
179	252.500	632.500
180	759.500	641.500
181	938.500	642.500
182	17.500	644.500
183	570.500	650.500
184	1161.500	651.500
185	1249.500	652.500
186	887	659.500
187	477.500	664.500
188	1313.500	666.500
189	265.500	667.500
190	1037.500	667.500
191	200.500	670.500
192	702.500	671.500
193	1358.500	679.500
194	43.500	680.500
195	392.500	689.500
196	1283.500	689.500
197	1201.500	692.500
198	731.500	694.500
199	327.500	701.500
200	984.500	701.500
201	500.500	705.500
202	818.500	708.500
203	867.500	708.500
204	272.500	710.500
205	205.500	711.500
206	166.500	712.500
207	627.500	714.500
208	1382.500	720.500
209	1346.500	728.500
210	7.500	732.500
211	791.500	734.500
212	947.500	738.500
213	1019.500	740.500
214	60.500	742.500
215	465	744.500
216	336.500	751
217	1205.500	759.500
218	174.500	761.500
219	586.500	768.500
220	405.500	769.500
221	1247.500	774.500
222	840.500	787.500
223	631.500	789.500
224	281.500	790.500
225	949.500	791.500
226	893.500	793.500
227	1040.500	794.500
228	1350.500	796.500
229	73.500	802
230	804.500	810.500
231	1185.500	813.500
232	723.500	815.500
233	1253.500	815.500
234	1006.500	817.500
235	184.500	822.500
236	370.500	823
237	417.500	826.500
238	1052.500	839.500
239	873.500	846.500
240	219.500	852.500
241	830.500	853.500
242	1324.500	853.500
243	1213	854.500
244	79.500	857.500
245	286.500	857.500
246	751.500	860.500
247	32.500	861.500
248	996.500	868.500
249	401.500	878.500
250	1287.500	883.500
251	200.500	884.500
252	652.500	884.500
253	720.500	886.500
254	1373.500	890.500
255	821.500	903.500
256	299.500	905.500
257	1044.500	905.500
258	227.500	913.500
259	1209.500	919
260	1102.500	924.500
261	43.500	927.500
262	1006.500	935.500
263	865.500	936.500
264	374.500	943.500
265	1288.500	945.500
266	1381.500	946.500
267	1051.500	951
268	729.500	953.500
269	504.500	956.500
270	916.500	961.500
271	311.500	971.500
272	1173.500	972.500
273	425.500	974.500
274	880.500	982.500
275	83.500	984
276	1250.500	985.500
277	8.500	986.500
278	1115.500	989.500
279	788.500	1000.500
280	678.500	1002.500
281	745.500	1002.500
282	392	1006.500
283	1056	1009.500
284	632.500	1010.500
285	245.500	1012.500
286	1003.500	1012.500
287	1318.500	1015.500
288	334.500	1021.500
289	594.500	1023.500
290	1383.500	1026.500
291	713.500	1031.500
292	268.500	1032.500
