@RELATION B57-S0378_medias
@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 REAL
@ATTRIBUTE f3 REAL
@ATTRIBUTE f4 REAL
@ATTRIBUTE f5 REAL
@ATTRIBUTE f6 REAL
@ATTRIBUTE f7 REAL
@ATTRIBUTE f8 REAL
@ATTRIBUTE f9 REAL
@ATTRIBUTE f10 REAL
@ATTRIBUTE f11 REAL
@ATTRIBUTE f12 REAL
@ATTRIBUTE f13 REAL
@ATTRIBUTE f14 REAL
@ATTRIBUTE f15 REAL
@ATTRIBUTE f16 REAL
@ATTRIBUTE f17 REAL
@ATTRIBUTE f18 REAL
@ATTRIBUTE f19 REAL
@ATTRIBUTE f20 REAL
@ATTRIBUTE f21 REAL
@ATTRIBUTE class {L4,L24}
@DATA
0.008774284550934007,NaN,0.4404461018408618,0.008774284550934007,NaN,0.4404461018408618,0.02137157715847276,0.025,0.4480353269802734,0.016308884019039873,0.025,0.4450312586959229,0.027195775133539844,0.025,0.45146854787667395,0.023637433963581717,0.025,0.44932278481642374,0.01732720715448435,0.025,0.44546041130797304,L4
0.015107817587011685,0.025,0.4440214878440405,0.020270809924301622,0.025,0.4477134625212359,0.025915112332542137,0.025,0.45096786982928233,0.0201219759572536,0.025,0.44678363186179404,0.02821007236422196,0.025,0.4518977004887241,0.023700841572158664,0.025,0.4495731238401194,0.025108381464158634,0.025,0.4491082085103985,L4
0.008478722737839828,NaN,0.4401818341797572,0.018243728931871463,0.025,0.4464581911309894,0.03089309514591227,0.025,0.4527345480822215,0.027043975524328988,0.025,0.451897700488724,0.02843819236926066,0.025,0.45231612428547274,0.021158905602989143,0.025,0.447295038724487,0.026401427738249956,0.025,0.45189770048872413,L4
0.015199801100692042,0.025,0.4440214878440402,0.01351729291017679,0.025,0.4433651367903166,0.014246270601942243,0.025,0.44369331231717846,0.013622352181034223,0.025,0.4436933123171786,0.014401069872844703,0.025,0.4440214878440403,0.016308130870344308,0.025,0.4446778388977639,0.01351729291017679,0.025,0.4433651367903166,L4
0.01343670687284292,NaN,0.4431805380564569,0.020584012140837115,0.025,0.4477134625212356,0.014362123717062839,0.025,0.44387791105103824,0.017491863275074692,0.025,0.4456213435374916,0.015539724097318372,0.025,0.4445752840456196,0.01901967648803712,0.025,0.44666740302936375,0.019608476678164885,0.025,0.4470160895266542,L4
0.006613948734271361,NaN,0.43924293200168674,0.014081780298838166,0.025,0.44332511538460184,0.018155291446980238,0.025,0.4453662070760595,0.013227897468542723,0.025,0.4433251153846019,0.015295878624113413,0.025,0.4445497703994765,0.019456735821544533,0.025,0.4465908620909342,0.019866741089103822,0.025,0.4469990804292256,L4
0.009887753485653447,0.025,0.4412046479051433,0.01468674824489236,0.025,0.4439941398834687,0.012709904689773703,NaN,0.4430643092240269,0.017261247972515246,0.025,0.4458538012023523,0.020967283606255195,0.025,0.4477134625212358,0.01657499856179423,0.025,0.44492397054291044,0.025200510412435578,0.025,0.45050295449956135,L4
0.00648156401267533,NaN,0.43909885494111334,0.010170260728100688,0.025,0.4413773307418968,0.012975483280537436,NaN,0.4433030495284782,0.01962616133118939,0.024999999999999998,0.44692184993279216,0.013835478941789027,0.025,0.4433030495284781,0.018253865007041018,0.025,0.44646949988225304,0.01634039759569238,0.025,0.44511244973063513,L4
0.007850669201703546,NaN,0.4398099019159805,0.011448011524103161,0.025,0.4420271904115725,0.022592939281012123,0.025,0.44932278481642357,0.026470488805160165,0.025,0.45061024265257377,0.028214098268984324,0.025,0.451897700488724,0.027022780597232652,0.025,0.451897700488724,0.034341892752944435,0.025,0.4566183792212749,L4
0.01945485576736631,0.025,0.4467741437938405,0.016994599280111003,0.025,0.4447247211158871,0.0134922352916915,0.025,0.4433584393305848,0.01510572775700369,0.025,0.44438315066956147,0.01690116824586497,0.025,0.4454078620085382,0.01438865670385514,0.025,0.4433584393305848,0.02592938642921405,0.025,0.4498482778107707,L4
