 	X	Y
1	799.500	5.500
2	475.500	6.500
3	396.500	9.500
4	1270.500	9.500
5	181.500	11.500
6	72.500	15.500
7	934.500	15.500
8	1077.500	16.500
9	1319.500	18.500
10	974.500	25.500
11	1115.500	25.500
12	543.500	30.500
13	240.500	36.500
14	607.500	39.500
15	1191.500	39.500
16	367.500	40.500
17	459.500	40.500
18	651.500	42.500
19	60.500	47.500
20	142.500	49.500
21	717.500	51.500
22	768.500	54.500
23	1133.500	55.500
24	301.500	63.500
25	810.500	63.500
26	1047.500	69.500
27	988.500	71.500
28	865.500	75.500
29	580.500	78.500
30	191.500	80.500
31	469.500	80.500
32	370.500	82.500
33	754.500	90.500
34	902.500	90.500
35	1211.500	90.500
36	1354.500	90.500
37	416	91.500
38	1270.500	91.500
39	1088.500	96.500
40	1150.500	96.500
41	648	101.500
42	957.500	102.500
43	255.500	103.500
44	1318.500	103.500
45	321.500	110.500
46	373.500	116.500
47	808.500	118.500
48	571.500	120.500
49	1048.500	124.500
50	452.500	126.500
51	46.500	127.500
52	856.500	131.500
53	537.500	134.500
54	732.500	137.500
55	911.500	146
56	1263.500	147.500
57	119	149.500
58	1123.500	149.500
59	621.500	151.500
60	1196.500	152.500
61	1346.500	152.500
62	814.500	157.500
63	964.500	158
64	174	160.500
65	47.500	161.500
66	475.500	162.500
67	664.500	166.500
68	1014.500	169
69	221.500	173.500
70	1075	174.500
71	901.500	176.500
72	318.500	179.500
73	754.500	181.500
74	598.500	183.500
75	1322.500	187.500
76	952	191.500
77	1125	191.500
78	834.500	192.500
79	347.500	202.500
80	1173.500	202.500
81	224.500	203.500
82	83.500	204.500
83	705.500	204.500
84	1017.500	204.500
85	482	210.500
86	128.500	216.500
87	296.500	217.500
88	1116.500	223
89	537.500	223.500
90	777.500	223.500
91	1266.500	224.500
92	259.500	229.500
93	972.500	229.500
94	1055.500	235.500
95	194.500	238.500
96	616.500	239.500
97	396.500	240.500
98	849.500	240.500
99	73.500	241.500
100	1179.500	241.500
101	1342.500	242.500
102	935	252.500
103	469.500	254.500
104	740.500	260.500
105	1281.500	265.500
106	664.500	267.500
107	1219.500	272.500
108	340	275.500
109	1049.500	275.500
110	12.500	277
111	396.500	277.500
112	831.500	279.500
113	1326.500	280.500
114	153.500	282.500
115	286.500	284.500
116	1105.500	285.500
117	891.500	291.500
118	494.500	295.500
119	628.500	295.500
120	213.500	299.500
121	90	301.500
122	695.500	303.500
123	1208.500	307.500
124	964.500	308.500
125	470.500	311.500
126	782.500	311.500
127	600	316.500
128	1302.500	321.500
129	533.500	328.500
130	142.500	329.500
131	317.500	329.500
132	211.500	334.500
133	986.500	339.500
134	15.500	340.500
135	418.500	340.500
136	1048.500	340.500
137	905.500	344.500
138	253	347.500
139	856.500	349.500
140	623.500	352.500
141	59.500	355.500
142	658.500	359.500
143	1268.500	359.500
144	741	363.500
145	943.500	365.500
146	699.500	366.500
147	1213.876	368.124
148	158.500	372.500
149	987.500	373.500
150	1151.500	373.500
151	798.500	374.500
152	420.500	377.500
153	488.500	378.500
154	573.500	378.500
155	1375.500	379.500
156	1072.500	383.500
157	848	388.500
158	206.500	390.500
159	542.500	392.500
160	333.500	393.500
161	1309.500	395.500
162	916.500	400.500
163	17.500	402.500
164	610.500	403.500
165	744.500	403.500
166	972.500	406
167	55.500	406.500
168	1348.500	406.500
169	1103.500	407.500
170	435.500	409
171	1019.500	409.500
172	297.500	415.500
173	691.500	416.500
174	108.500	420.500
175	1169	429.500
176	519	432.500
177	1315.500	432.500
178	704.500	438
179	1235.500	437.500
180	1086.500	439.500
181	828	440.500
182	582.500	441.500
183	773.500	447.500
184	199.500	449.500
185	624.500	449.500
186	370.500	451.500
187	881.500	451.500
188	1370.500	453.500
189	153.500	454.500
190	930.500	454.500
191	417.500	459.500
192	970	459.500
193	1038.500	462.500
194	295.500	468.500
195	20.500	472.500
196	80.500	472.500
197	461	472.500
198	666.500	476.500
199	217.500	478.500
200	751.500	478.500
201	1083.500	478.500
202	1293.500	482
203	519.500	486.500
204	1369.500	488.500
205	800.500	489.500
206	1152.500	489.500
207	895	492.500
208	1218.500	492.500
209	161	496.500
210	565.500	501.500
211	941.500	501.500
212	109.500	503.500
213	357.500	508.500
214	1001.500	511.500
215	312.500	513
216	640	515.500
217	1053.500	517.500
218	50.500	519.500
219	401.500	521.500
220	1150.500	521.500
221	243.500	522.500
222	1355.500	522.500
223	700	526.500
224	1211.500	527.500
225	1251	530.500
226	493.500	533.500
227	440.500	537.500
228	1305.500	538.500
229	765.500	542.500
230	1121.500	542.500
231	825.500	547.500
232	862.500	548.500
233	550.500	549.500
234	145.500	557.500
235	947.500	558.500
236	987	560.500
237	316.500	562.500
238	216.500	564.500
239	1213	564.500
240	1027.500	565.500
241	59.500	572.500
242	640.500	573.500
243	489.500	574.500
244	380.500	578.500
245	1132.500	580.500
246	1084.500	592.500
247	1281.500	593.500
248	446.500	595.500
249	565.500	595.500
250	264.500	597.500
251	1324.500	597.500
252	694.500	599.500
253	736.124	600.876
254	88.500	603.500
255	845.500	605
