 	X	Y
1	617.500	7.500
2	146.500	11.500
3	840.500	12.500
4	760.500	16.500
5	368.500	18.500
6	522.500	20.500
7	98	25.500
8	1070.500	37.500
9	1227.500	38.500
10	1315.500	39.500
11	44	45.500
12	483	46.500
13	950.500	53
14	330.500	53.500
15	192.500	60.500
16	817.500	61.500
17	738.500	62.500
18	548.500	65.500
19	687.500	67.500
20	247.500	68.500
21	414.500	72.500
22	905.500	75
23	80.500	78.500
24	623.500	78.500
25	993.500	78.500
26	1129.500	79.500
27	1256.500	80.500
28	150.500	82.500
29	287.500	82.500
30	1038.500	82.500
31	1181	85.500
32	749.500	97.500
33	485.500	101.500
34	1094.500	102.500
35	354.500	104.500
36	971.500	108.500
37	638.500	109.500
38	836.500	111.500
39	431.500	112.500
40	1202.500	112.500
41	249.500	115
42	83.500	116.500
43	711.500	116.500
44	1134	118.500
45	128	121.500
46	1368.500	121.500
47	25.500	125.500
48	578.500	125.500
49	168.500	132.500
50	926.500	132.500
51	675.500	137.500
52	1044.500	139.500
53	768.500	142.500
54	415.500	144.500
55	499.500	144.500
56	855.500	149.500
57	312.500	154.500
58	362.500	155.500
59	191.500	156.500
60	1307.500	156.500
61	590	158.500
62	45.500	169.500
63	1080.500	169.500
64	1120.500	172.500
65	890.500	173.500
66	443	175.500
67	160.500	179.500
68	702.500	181.500
69	998.500	181.500
70	1359.500	181.500
71	269	185.500
72	511.500	185.500
73	849.500	191.500
74	803.500	199.500
75	200.500	204.500
76	321	204.500
77	1234.500	205.500
78	1382.500	206.500
79	912.500	209.500
80	637.500	211.500
81	463.500	213.500
82	115.500	214.500
83	527	214.500
84	404.500	216.500
85	873.500	220.500
86	1044.500	220.500
87	763.500	221.500
88	62.500	222.500
89	987.500	222.500
90	1269.500	223
91	1196.500	224
92	1340.500	232.500
93	154.500	233.500
94	274.500	233.500
95	342.500	242.500
96	720.500	244.500
97	567.500	247.500
98	664.500	248.500
99	68	252
100	913.500	252.500
101	1148.500	254.500
102	219.124	257.876
103	1008.500	258.500
104	940.500	262.500
105	1200	262.500
106	629.500	264.500
107	1303.500	270.500
108	819.500	271.500
109	402.500	272.500
110	347.500	274.500
111	12.500	277.500
112	1227.500	278.500
113	104.500	280.500
114	184.500	285.500
115	645.500	292.500
116	496.500	300.500
117	1260.500	302.500
118	556.500	303.500
119	763	304.500
120	430.500	306.500
121	864.500	306.500
122	1096.500	306.500
123	292.500	311.500
124	607.500	314.500
125	1042.500	314.500
126	68.500	317.500
127	1168.500	318.500
128	801.500	320.500
129	1322.500	321.500
130	1375.500	322.500
131	339	323.500
132	187.500	325.500
133	515.500	328.500
134	1121.500	330.500
135	1219.500	332.500
136	255.500	334.500
137	136.500	340.500
138	729.500	340.500
139	548.500	346.500
140	670.500	350.500
141	1276.500	355.500
142	410.500	357.500
143	753.500	363.500
144	249.500	364.500
145	1320.500	364.500
146	34	367.500
147	1028.500	367.500
148	478.500	369.500
149	969.500	369.500
150	353.500	371.500
151	1150.500	371.500
152	162.500	381.500
153	1067.500	382.500
154	1229.500	382.500
155	933.500	384.500
156	97.500	385.500
157	706.500	387.500
158	586.500	388.500
159	317.500	390.500
160	1268.500	396.500
161	1105	398.500
162	1031.500	402.500
163	217.500	406
164	643.500	405.500
165	38.500	408.500
166	412.500	410.500
167	1366.500	410.500
168	1173.500	414.500
169	506.500	418.500
170	975.500	418.500
171	745.500	419.500
172	266.500	424.500
173	108.500	427.500
174	844.500	429
175	1310.500	430
176	1047.500	431.500
177	183.500	432.500
178	583.500	432.500
179	12.500	433.500
180	369.500	433.500
181	712.500	436.500
182	463	438.500
183	880.500	444.500
184	1115.500	444.500
185	1184.500	447.500
186	76.500	450.500
187	18.500	459.500
188	542.500	459.500
189	1323.500	460.500
190	804.500	461.500
191	322.500	464.500
192	454.500	465.500
193	663.500	465.500
194	215.500	466.500
195	596.500	471.500
196	907.500	472.500
197	989.500	472.500
198	126.500	478.500
199	495	482.500
200	1263.500	482.500
201	415.500	491.500
202	1046.500	491.500
203	1106.500	491.500
204	68	496.500
205	925.500	497.500
206	242.500	498.500
207	1133	499.500
208	545.500	500.500
209	164	504.500
210	769.500	504.500
211	354.500	506.500
212	1199.500	506.500
213	875.500	519
214	300.500	519.500
215	460.500	519.500
216	1056.500	527.500
217	688.500	528.500
218	825.500	530.500
219	791.500	531.500
220	56.500	532.500
