19	1003
163	1533
177	179
195	1101
203	781
229	469
331	1679
333	1339
363	755
397	99
401	359
405	1099
441	1501
503	1879
523	859
595	237
601	567
611	1179
635	1521
671	1869
791	195
837	965
869	1671
919	331
933	1369
979	641
979	1809
1009	97
1019	1033
1091	269
1111	1259
1151	929
1153	1655
1267	1357
1271	533
1283	743
1317	203
1319	17
1321	1103
1339	1669
1435	937
1469	557
1471	267
1479	1197
1511	1525
1636	1011
1641	693
1659	275
1693	1441
1703	1711
1711	21
1741	529
1787	1879
1825	955
1833	1247
1843	307
1849	1549
1867	667
2021	973
2023	1587
2039	273
2049	573
2063	1867
2123	1167
2135	1407
2151	161
2161	431
2297	809
2303	1705
2317	1415
2349	1123
2385	191
2393	559
2395	405
2443	1785
2477	1405
2501	987
