63	11
69	1629
121	923
129	579
139	1179
149	1421
191	1875
299	243
321	1677
443	637
463	1359
479	1639
505	1039
535	415
545	807
701	1719
725	141
775	1183
777	1059
783	511
909	1475
915	843
935	1885
995	513
1063	1667
1095	647
1141	211
1149	1035
1161	1357
1229	399
1361	1743
1415	781
1431	467
1495	1197
1519	921
1559	213
1559	1451
1645	733
1843	1633
1891	615
1901	109
1909	1427
1913	427
1933	1037
1947	1249
2035	1787
2147	17
2175	305
2181	1595
2213	693
2311	895
2329	1145
2367	419
2367	1657
2465	557
2539	771
