28	1262
41	1642
43	494
62	990
74	859
115	58
145	1156
193	575
195	320
246	1558
270	1174
298	936
324	1705
332	335
396	1318
415	754
457	84
466	1711
470	397
503	1509
539	1024
560	807
598	482
613	1252
622	195
651	1839
723	693
737	395
747	1612
794	1106
888	576
894	196
920	1568
951	917
969	1874
1047	1370
1062	713
1081	307
1115	1061
1135	1655
1216	822
1250	228
1283	487
1289	1551
1309	1103
1350	898
1386	288
1394	1781
1404	622
1456	1100
1530	1365
1569	1729
1592	948
1623	566
1629	303
1651	102
1688	1605
1794	1896
1807	429
1809	1334
1872	1110
1890	769
1892	132
1950	1700
1963	528
1995	1345
2084	273
2108	1733
2146	763
2237	1517
2241	1166
2243	928
2256	524
2345	237
2368	1889
2389	1592
2405	1186
2410	1377
2420	703
2442	962
2481	131
