Species,Samples,Classes,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std,Successful_Repetitions
Callisia Repens,240,3,0.3754166666666666,0.016919950420205807,0.25109767083729767,0.023719800841953444,10
Ctenanthe,252,2,0.5925999999999999,0.029649666471876022,0.5263634362541073,0.05085580748407554,10
Tradescantia,288,3,0.3489039408866995,0.012421518287893642,0.2099688250632299,0.025037604836959507,10
