Species,Samples,Classes,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std,Successful_Repetitions
Callisia Repens,240,3,0.7652777777777777,0.15308680866637178,0.7451697136310604,0.19954739287305912,10
Ctenanthe,252,2,0.8828947368421053,0.029685563612311797,0.8820298261985468,0.030426363121550958,10
Tradescantia,288,3,0.5620689655172415,0.14786542141793388,0.5207987644805726,0.19498001098551088,10
