 	X	Y
1	146.500	4.500
2	1042.500	6.500
3	954.500	7.500
4	1219.500	7.500
5	657.500	8.500
6	724.500	8.500
7	831.500	8.500
8	1145.500	9.500
9	1276.500	10.500
10	102.500	13.500
11	608.500	13.500
12	432.500	19.500
13	314.500	23.500
14	6.500	25.500
15	241	26.500
16	362.500	33.500
17	410.500	35.500
18	1032.500	36.500
19	528.500	43.500
20	1272.500	45.500
21	285.500	47
22	658.500	48.500
23	830	49.500
24	1072.500	51.500
25	1333.500	52
26	867.500	53.500
27	204.500	57.500
28	114.500	60.500
29	35	61.500
30	943.500	62.500
31	473.500	69.500
32	762.500	73.500
33	711.500	75.500
34	1240.500	79.500
35	329.500	82.500
36	90.500	89
37	539.500	90.500
38	1136.500	96.500
39	1020.500	99.500
40	839.500	102.500
41	354.500	106.500
42	649.500	106.500
43	175.500	107.500
44	592.500	108
45	1323.500	112.500
46	751.500	113.500
47	1229.500	113.500
48	409.500	116.500
49	460.500	122
50	1071.500	124.500
51	270	124.500
52	214.500	134.500
53	6.500	140.500
54	103.500	140.500
55	510	141.500
56	1262.500	141.500
57	1339.500	143.500
58	695.500	145.500
59	834.500	145.500
60	924	145.500
61	763.500	149
62	630.500	149.500
63	1224.500	150.500
64	1133	153.500
65	584.500	158
66	168.500	159.500
67	1069.500	160.500
68	343.500	165.500
69	389.500	167
70	278.500	169.500
71	954.500	170.500
72	1018.500	172.500
73	743.500	175.500
74	87.500	177.500
75	221.500	180.500
76	1323.500	181.500
77	833.500	183.500
78	442.500	186.500
79	507.500	189.500
80	621.500	189.500
81	1151.500	192.500
82	1065.500	194.500
83	1241.500	198.500
84	918.500	200.500
85	379.500	211
86	1338.500	211.500
87	303.500	212.500
88	200.500	214.500
89	736.500	218.500
90	1013.500	218.500
91	253.500	220.500
92	678.500	224.500
93	586	225.500
94	475.500	227.500
95	513.500	231.500
96	1150.500	235.500
97	75.500	237.500
98	155.500	239.500
99	1260.500	243.500
100	443.500	245.500
101	375.500	249.500
102	1222	254
103	906.500	258.500
104	185.500	260.500
105	1027.500	263.500
106	821.500	267.500
107	610	269.500
108	1141.500	269.500
109	723.500	271.500
110	72.500	281.500
111	1051.500	282.500
112	667.500	283.500
113	309.500	286.500
114	554.500	287.500
115	1003.500	287.500
116	500.500	290.500
117	254.500	291.500
118	370.500	293.500
119	945.500	293.500
120	136.500	299.500
121	427.500	299.500
122	725.500	304.500
123	1195.500	304.500
124	1250.500	305.500
125	1134.876	307.876
126	1314.500	308
127	811.500	312.500
128	606.500	318.500
129	1048.500	320.500
130	660.500	323.500
131	546	330.500
132	469.500	332.500
133	301.500	333.500
134	895.500	334.500
135	367.500	339.500
136	735.500	342.500
137	1209.500	345.500
138	39.500	346.500
139	799.500	346.500
140	162.500	348.500
141	1126.500	351.500
