 	X	Y
1	409.500	20.500
2	1200.500	23.500
3	1271.500	24.500
4	853	26.500
5	1136.500	26.500
6	1061.500	27.500
7	317.500	28.500
8	1324.500	29.500
9	794.500	30.500
10	582.500	31.500
11	739.500	32.500
12	507.500	33.500
13	692.500	34.500
14	453.500	38.500
15	264.500	40.500
16	135.500	43.500
17	947.500	60.500
18	879.500	77.500
19	1367.500	81.500
20	1017	82.500
21	580.500	83.500
22	1066.500	84.500
23	78	85.500
24	484.500	86.500
25	1272.500	86.500
26	838	90
27	1185.500	89.500
28	39.500	90.500
29	1142.500	93.500
30	931.500	94.500
31	712.500	96.500
32	425.500	101.500
33	647.500	101.500
34	181.500	103.500
35	129.500	104.500
36	352.500	105.500
37	245.500	108.500
38	297.500	111.500
39	1266.500	137.500
40	1339.500	143.500
41	995.500	154.500
42	596.500	157.500
43	1125.500	157.500
44	758.500	158.500
45	528.500	162.500
46	1214.500	163.500
47	140.500	165.500
48	666.500	166.500
49	303.500	172.500
50	437.500	174.500
51	928.500	174.500
52	1036.500	174.500
53	732.500	175.500
54	68.500	177.500
55	793.500	180.500
56	871.500	184.500
57	114.500	188.500
58	476.500	189.500
59	263.500	190.500
60	195.500	198.500
61	1290.500	229.500
62	1248.500	233.500
63	1166.500	239.500
64	411.500	241.500
65	1334.500	241.500
66	209.500	244.500
67	863.500	244.500
68	325.500	246.500
69	123.500	248.500
70	1077.500	249.500
71	1211.500	250.500
72	896.500	254.500
73	280	256.500
74	715.500	257.500
75	621.500	259.500
76	976	260.500
77	779.500	261.500
78	542.500	266.500
79	483.500	268.500
80	151.500	269.500
81	68.500	271.500
82	257.500	273.500
83	1368.500	298.500
84	1325.500	305.500
85	1156.500	307.500
86	1097.500	315.500
87	768.500	318.500
88	838.500	321.500
89	938.500	322.500
90	1221.500	324
91	661.500	324.500
92	357.500	327.500
93	1015.500	327.500
94	166.500	332.500
95	514.500	332.500
96	588.500	334.500
97	401.500	335.500
98	465	335.500
99	65.500	336.500
100	130.500	336.500
101	263	337.500
102	4.500	339
103	896	339.500
104	562.500	352.500
105	1266.500	375.500
106	1127.500	382.500
107	973.500	392.500
108	154.500	399.500
109	818	399.500
110	917.500	399.500
111	1333.500	399.500
112	311.500	401.500
113	1200.500	401.500
114	399.500	403.500
115	714.500	403.500
116	496.500	407.500
117	1038.500	410.500
118	90.500	411.500
119	653.500	414.500
120	1247.500	415.500
121	219.500	418.500
122	15.500	419.500
123	886.500	421.500
124	1119.500	423.500
125	283.500	436.500
126	576.500	437.500
127	320.500	441.500
128	413.500	446.500
129	772.500	447.500
130	372.500	448.500
131	838.500	448.500
132	49	449.500
133	650.500	450.500
134	727.500	450.500
135	128.500	451.500
136	228.500	460.500
137	1333.500	470.500
138	1111.500	488.500
139	1288.500	489.500
140	1218	491.500
141	1171.500	497.500
142	1016.500	514.500
143	391.500	515.500
144	784.500	515.500
145	622	516.500
146	1059.500	517.500
147	465.500	518.500
148	174.500	521.500
149	703.500	523.500
150	37.500	524.500
151	551.500	525.500
152	929.500	526.500
153	863.500	527.500
154	501	533.500
155	234.500	535.500
156	355.500	536.500
157	300.500	540.500
158	1326.500	549.500
159	1208.500	552.500
160	82	555.500
161	130	555.500
162	39.500	559.500
163	674.500	579.500
164	1250.500	598.500
165	1381.500	629.500
166	1335.500	630.500
167	1288.500	638.500
168	1101.500	641.500
169	459.500	642.500
170	1034.500	655.500
171	108.500	657.500
172	162	659.500
173	513.500	660.500
174	65.500	661.500
175	203.500	661.500
176	898.500	661.500
177	960.500	661.500
178	708.500	662.500
179	571.500	663.500
180	840	663.500
181	1175.500	663.500
182	10.500	666.500
183	409.500	666.500
184	640.500	667.500
185	260.500	669.500
186	1300.500	674.500
187	347.500	678.500
188	1225.500	680.500
189	803.500	683.500
190	1035.500	691.500
191	310.500	694.500
192	880.500	695.500
193	739	708.500
194	647.500	710.500
195	572.500	713.500
196	483.500	714.500
197	523.500	714.500
198	22.500	715.500
199	253.500	715.500
200	69.500	717.500
201	420.500	717.500
202	196.500	719.500
203	1380.500	722.500
204	1124.500	729.500
205	1273.500	732.500
206	1206.500	743.500
207	1349.500	743.500
208	1169.124	750.124
209	1007.500	759
210	930.500	762.500
211	1079	762.500
212	878.500	766.500
213	688.500	770.500
214	97.500	773.500
215	539.500	773.500
216	377.500	774.500
217	582.500	774.500
218	797.500	775.500
219	412.500	776.500
220	173.500	778.500
221	6.500	779.500
222	1115	781.500
223	1189.500	782.500
224	457	794.500
225	333.500	795.500
226	69.500	796.500
227	626.500	797.500
228	289.500	798.500
