@RELATION classical
@ATTRIBUTE MEAN_DEGREE_T50 REAL
@ATTRIBUTE MEAN_HIERC_DEGREE_2_T50 REAL
@ATTRIBUTE MEAN_HIERC_DEGREE_3_T50 REAL
@ATTRIBUTE MEAN_CLUSTERING_COEFFICIENT_T50 REAL
@ATTRIBUTE AVG_SHORTEST_PATH_T50 REAL
@ATTRIBUTE PEARSON_CORRELATION_T50 REAL
@ATTRIBUTE MEAN_DEGREE_T80 REAL
@ATTRIBUTE MEAN_HIERC_DEGREE_2_T80 REAL
@ATTRIBUTE MEAN_HIERC_DEGREE_3_T80 REAL
@ATTRIBUTE MEAN_CLUSTERING_COEFFICIENT_T80 REAL
@ATTRIBUTE AVG_SHORTEST_PATH_T80 REAL
@ATTRIBUTE PEARSON_CORRELATION_T80 REAL
@ATTRIBUTE MEAN_DEGREE_T110 REAL
@ATTRIBUTE MEAN_HIERC_DEGREE_2_T110 REAL
@ATTRIBUTE MEAN_HIERC_DEGREE_3_T110 REAL
@ATTRIBUTE MEAN_CLUSTERING_COEFFICIENT_T110 REAL
@ATTRIBUTE AVG_SHORTEST_PATH_T110 REAL
@ATTRIBUTE PEARSON_CORRELATION_T110 REAL
@ATTRIBUTE MEAN_DEGREE_T140 REAL
@ATTRIBUTE MEAN_HIERC_DEGREE_2_T140 REAL
@ATTRIBUTE MEAN_HIERC_DEGREE_3_T140 REAL
@ATTRIBUTE MEAN_CLUSTERING_COEFFICIENT_T140 REAL
@ATTRIBUTE AVG_SHORTEST_PATH_T140 REAL
@ATTRIBUTE PEARSON_CORRELATION_T140 REAL
@ATTRIBUTE MEAN_DEGREE_T170 REAL
@ATTRIBUTE MEAN_HIERC_DEGREE_2_T170 REAL
@ATTRIBUTE MEAN_HIERC_DEGREE_3_T170 REAL
@ATTRIBUTE MEAN_CLUSTERING_COEFFICIENT_T170 REAL
@ATTRIBUTE AVG_SHORTEST_PATH_T170 REAL
@ATTRIBUTE PEARSON_CORRELATION_T170 REAL
@ATTRIBUTE MEAN_DEGREE_T200 REAL
@ATTRIBUTE MEAN_HIERC_DEGREE_2_T200 REAL
@ATTRIBUTE MEAN_HIERC_DEGREE_3_T200 REAL
@ATTRIBUTE MEAN_CLUSTERING_COEFFICIENT_T200 REAL
@ATTRIBUTE AVG_SHORTEST_PATH_T200 REAL
@ATTRIBUTE PEARSON_CORRELATION_T200 REAL
@ATTRIBUTE class {AMB, UM90, CO2}
@DATA
1.718446602,3.606796117,7.844660194,0.070873786,0.099130702,0.200111979,5.559395248,32.89848812,197.8531317,0.444365594,11.51739549,0.330265665,10.68682505,119.7537797,1365.676026,0.536973217,7.603461333,0.452738627,17.38228942,314.9157667,5787.058315,0.581362592,5.711602293,0.450145841,25.44708423,675.2267819,18172.82073,0.606859837,4.644273653,0.446164031,34.73866091,1261.049676,46428.41037,0.625421227,3.934260844,0.435416254,AMB
1.610810811,3.124324324,6.27027027,0.08963964,0.0370761,0.197614179,5.232815965,29.44567627,169.210643,0.419022982,10.80198078,0.383256736,10.31929047,112.3991131,1248.815965,0.532450722,7.30601626,0.506863537,16.87804878,299.6230599,5435.219512,0.570876175,5.557270264,0.607156024,24.77605322,646.4833703,17250.74945,0.59736843,4.520433604,0.613603862,33.81374723,1208.399113,44212.50998,0.615865207,3.857265336,0.60623719,AMB
1.755501222,3.662591687,7.828850856,0.086389568,0.119912268,0.170838921,5.533898305,32.80932203,198.2711864,0.455550511,11.20956134,0.362061683,10.87288136,124.470339,1452.987288,0.539458811,7.455908813,0.503782351,17.88135593,334.8305085,6388.461864,0.579887882,5.646991615,0.544600513,26.04237288,711.4915254,19816.39407,0.604169763,4.606283062,0.544918068,35.61016949,1334.877119,51080.52542,0.622029234,3.892115585,0.540292179,AMB
1.971084337,4.742168675,11.91325301,0.148995984,0.426797043,0.267841719,5.7,35.44166667,227.3583333,0.470256283,12.10932498,0.495433614,11.49583333,141.8791667,1810.691667,0.548616492,7.454627697,0.622375599,18.50833333,365.9166667,7483.329167,0.582650446,5.650147878,0.656742982,27.0375,783.2958333,23487.225,0.606896023,4.567066806,0.648303605,36.9125,1458.525,59574.575,0.624769959,3.893823939,0.628025032,AMB
2.30620155,6.251937984,17.54263566,0.209625323,8.786317453,0.275048932,6.578181818,46.48,338.1163636,0.465240719,10.88846498,0.531714615,13.05454545,179.8363636,2538.410909,0.555073851,7.217274383,0.592529052,21,464.7127273,10523.24364,0.587374802,5.517979798,0.593686132,30.65454545,992.7527273,32929.05455,0.608969929,4.515952972,0.602385044,41.76727273,1844.636364,83415.00727,0.62495596,3.844735883,0.587083641,AMB
2.621794872,7.932692308,24.84615385,0.174145299,18.97098922,0.324674777,7.779503106,63.8136646,533.2670807,0.499616981,10.61262715,0.444521043,15.21118012,241.7453416,3909.661491,0.562818337,7.148788192,0.541772954,24.71118012,639.8540373,16880.70497,0.592733369,5.454971359,0.561302047,35.68012422,1338.158385,51161.7236,0.610791266,4.474546719,0.562759154,48.65838509,2493.217391,130193.2143,0.625193106,3.824778069,0.531699835,UM90
2.451499118,6.984126984,20.35978836,0.176484421,5.907497772,0.208770945,7.105084746,53.65084746,414.4711864,0.480126568,10.78789675,0.501959562,14.11525424,209.1050847,3160.362712,0.55697882,7.229518575,0.541866298,22.75932203,542.6813559,13197.8339,0.58898076,5.520923139,0.564957701,33.03728814,1144.108475,40408.2,0.611986736,4.524289948,0.560387824,44.75254237,2104.901695,101050.7525,0.628571115,3.852136629,0.547096193,UM90
2.532627866,7.456790123,22.57848325,0.187595532,3.984257857,0.252252789,7.395904437,58.20819113,468.4334471,0.488617403,10.51938392,0.48426372,14.51535836,222.2730375,3485.679181,0.560488441,7.025763542,0.623904347,23.36860068,575.4129693,14494.46075,0.591437795,5.366447887,0.614839223,34.15358362,1232.368601,45535.6314,0.611886362,4.39095709,0.611194539,46.60068259,2302.829352,116609.157,0.627007745,3.758320936,0.590928092,UM90
2.660162602,8.130081301,25.45365854,0.210460705,24.94293054,0.232896212,7.677316294,61.97124601,508.284345,0.495650746,10.55298147,0.40024249,14.97763578,233.4472843,3692.306709,0.559522931,7.13251885,0.493106657,24.08306709,603.4440895,15346.75719,0.591187164,5.504276038,0.528079366,35.04472843,1281.964856,47657.24281,0.612218629,4.493438978,0.531342398,47.69648562,2382.035144,120971.0735,0.628456738,3.837766134,0.510848799,UM90
2.35335689,6.5795053,19.32155477,0.163722026,4.783689296,0.366123839,7.2,54.8907563,427.3210084,0.483976294,10.83174037,0.451757699,13.98319328,204.6386555,3055.317647,0.556458966,7.238927086,0.558629333,22.68235294,536.6756303,12939.91261,0.589465971,5.552686529,0.581685082,33.07226891,1146.043697,40556.67899,0.610087432,4.536773901,0.590672088,44.92436975,2121.663866,102370.9345,0.625797177,3.863616558,0.56678345,UM90
