1361.500	8.500
745.500	14.500
538.500	20.500
993.500	25.500
1237.500	29.500
925.500	30.500
867.500	39.500
828.500	46.500
1267.500	46.500
1139.500	47.500
1341.500	47.500
776.500	49.500
412.500	50.500
358.500	52.500
205.500	53.500
723.500	56.500
256.500	58.500
313.500	58.500
675	62.500
1049.500	63.500
155.500	68.500
626	69.500
48.500	73.500
1082.500	74.500
1178.500	80.500
885.500	83.500
490.500	85.500
447	89.500
1139.500	89.500
946.500	90.500
378.500	91.500
69	92.500
31.500	94.500
564.500	96
334	97
719.500	96.500
286.500	100
1297.500	100.500
228	104.500
1368	105.500
795.500	105.500
1026.500	110.500
1245	113.500
161.500	115.500
11.500	118.500
118.500	120.500
848.500	122.500
979.500	122.500
773.500	128.500
1109.500	132.500
676.500	133.500
1221.049	134.522
1345.500	136.500
507.478	140.951
72.500	145.500
358.500	146.500
1144.500	149.500
625.500	151.500
914.500	151.500
580.500	154.500
265.500	158.500
711.500	160.500
1076.500	162.500
653.500	163.500
221.500	165.500
453.500	166.500
173.500	170.500
1299.500	172
399.500	175.500
1017.500	176.500
130.500	177.500
1251.124	186.876
975.500	187.500
1333	187.500
487	188.500
46.500	193
589.500	192.500
912.500	198.500
872.500	203
266	203.500
315.500	203.500
821.500	209.500
1202.500	210.500
765	213.500
1167.500	214.500
140.500	217.500
409.500	219.500
541.500	223.500
715.500	224.500
77.500	226.500
349	226.500
1367.500	227.500
191	233.500
974.500	234.500
1108.500	234.500
625	236.500
674.500	236.500
1065.500	236.500
18.500	238.500
1143.124	243.124
1029.500	251.500
511.500	255.500
568.500	262.500
121.500	265.500
455.500	266.500
872.500	267.500
407.500	268.500
811.500	272.500
55.500	274.500
365.500	275.500
1331	277.500
947.500	279
1249.500	280.500
898.500	281.500
166.500	284.500
321.500	284.500
746	285.500
1288.500	285.500
257	292.500
209.500	294.500
627.500	295.500
1176.500	298.500
1069.500	299.500
1010.500	310
80.500	311.500
806.500	311.500
412.500	313.500
688.124	317.124
38.500	319.500
1135.500	321.500
931.500	322.500
645.500	325.500
581.500	326.500
536.500	334.500
973.500	334.500
493.500	335.500
1072.500	338.500
1341.500	341.500
1237.500	343.500
365.500	348.500
884.500	351.500
443.500	354.500
1292.500	354.500
322.500	356.500
1139	356.500
762	357.500
239.500	361.500
936.500	364.500
700.500	366.500
591.500	367.500
180.500	368.500
627.500	369.500
135.500	377.500
1204.500	377.500
843.500	384.500
1370.500	387.500
37.500	388.500
539.124	393.124
446.500	394.500
498.500	394.500
106.500	395.500
778.500	395.500
269.500	396.500
216.500	400.500
714.500	401.500
1288.500	402.500
1243.500	404.500
677.500	406.500
376.500	408.500
1020.500	410.500
1360.500	411.500
621.500	416.500
328.500	422.500
889.500	422.500
577.500	423.500
980.500	423.500
67.500	424.500
844.500	426.500
437.500	433.500
272.500	434.500
1135.500	435.500
511.500	439.500
1199.500	439.500
1075.500	446
1273.500	447.500
813.500	456.500
120.500	458.500
407	460.500
218.500	462.500
365.500	462.500
710.500	466.500
70.500	468.500
282.500	468.500
173.500	469.500
1164.500	469.500
654.500	476.500
1022.500	480.500
880.500	483.500
440.500	487.500
734.500	487.500
558.500	490.500
36.500	492.500
778.500	493.500
971.500	494.500
930	495.500
1336.500	496.500
1228.500	498.500
371.500	499.500
124	500.500
519.500	500.500
1301.500	505.500
479.500	509.500
1156.500	514.500
1261	514.500
604.500	522.500
180.500	527.500
852.500	527.500
277.500	530.500
551.500	533.500
19.500	534.500
806.500	534.500
1073.500	534.500
417.500	539.500
880	540.500
223.500	541.500
672	541.500
67.500	542.500
939.500	545.500
1123.500	545.500
131.500	546.500
496.500	548.500
341.500	551.500
1052.500	560.500
761.500	562.500
547.500	569.500
590.500	569.500
1005.500	571.500
210.500	575.500
890.500	580.500
153.500	581.500
51.500	583.500
439.500	583.500
953.500	583.500
108.500	584.500
478.500	585.500
399	590
1330.500	590
907.500	598.500
268.500	599.500
828.500	601.500
142.500	612.500
761	612.500
187.500	613.500
313.500	613.500
354.500	614.500
718.500	616.500
90.500	619.500
615.500	620
1292.500	625.500
36.500	626.500
1365.500	626.500
203.500	630.500
858.500	635
1215.500	636.500
