@RELATION B014-S04567_medias
@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 REAL
@ATTRIBUTE f3 REAL
@ATTRIBUTE f4 REAL
@ATTRIBUTE f5 REAL
@ATTRIBUTE f6 REAL
@ATTRIBUTE f7 REAL
@ATTRIBUTE f8 REAL
@ATTRIBUTE f9 REAL
@ATTRIBUTE f10 REAL
@ATTRIBUTE f11 REAL
@ATTRIBUTE f12 REAL
@ATTRIBUTE f13 REAL
@ATTRIBUTE f14 REAL
@ATTRIBUTE f15 REAL
@ATTRIBUTE f16 REAL
@ATTRIBUTE f17 REAL
@ATTRIBUTE f18 REAL
@ATTRIBUTE f19 REAL
@ATTRIBUTE f20 REAL
@ATTRIBUTE f21 REAL
@ATTRIBUTE f22 REAL
@ATTRIBUTE f23 REAL
@ATTRIBUTE f24 REAL
@ATTRIBUTE f25 REAL
@ATTRIBUTE f26 REAL
@ATTRIBUTE f27 REAL
@ATTRIBUTE f28 REAL
@ATTRIBUTE f29 REAL
@ATTRIBUTE f30 REAL
@ATTRIBUTE f31 REAL
@ATTRIBUTE f32 REAL
@ATTRIBUTE f33 REAL
@ATTRIBUTE f34 REAL
@ATTRIBUTE f35 REAL
@ATTRIBUTE f36 REAL
@ATTRIBUTE f37 REAL
@ATTRIBUTE f38 REAL
@ATTRIBUTE f39 REAL
@ATTRIBUTE f40 REAL
@ATTRIBUTE f41 REAL
@ATTRIBUTE f42 REAL
@ATTRIBUTE f43 REAL
@ATTRIBUTE f44 REAL
@ATTRIBUTE f45 REAL
@ATTRIBUTE f46 REAL
@ATTRIBUTE f47 REAL
@ATTRIBUTE f48 REAL
@ATTRIBUTE class {AMB,CO2,UM90}
@DATA
0.38814317803705733,0.025,0.510842645059847,0.1725019965019388,0.024999999999999998,0.5034270030730225,0.2425245132442963,0.024999999999999998,0.5566666719344031,0.29844669031513626,0.025,0.5911072072947459,0.26165504896743347,0.025,0.5721651710531583,0.11214353053224384,0.025,0.49101083639215726,0.0704189125423716,0.024999999999999994,0.474129288825704,0.05644766433556092,0.025,0.4655981427321654,0.07429943126194447,0.025,0.47467152268758184,0.043060209049762446,0.024999999999999998,0.45840450683125705,0.040132741352145326,0.025,0.45569333752186997,0.033459608818664596,0.024999999999999998,0.4547896144187404,0.035804847696893106,0.025,0.4547896144187405,0.03603154238117427,0.025,0.4564886138526232,0.03630219034496671,0.025,0.45609097568724594,0.030376748490328637,0.025,0.45345210422610915,AMB
0.41006943592074957,0.025,0.5137791874024978,0.21981149137120692,0.025,0.5180105579886295,0.25671003733138054,0.024999999999999998,0.5709119014797199,0.30170187971043977,0.024999999999999994,0.6053506849283135,0.26834451978173035,0.024999999999999994,0.5825646795000408,0.08391075363485205,0.024999999999999994,0.4817347499420341,0.06661221675637523,0.025,0.46978508585750006,0.06285743168478822,0.025000000000000005,0.46870887387473015,0.036228332613515234,0.024999999999999998,0.45597988387164173,0.049974030875146146,0.025,0.4628082633485193,0.04674855710195395,0.025,0.459950734980477,0.03897142534713527,0.025,0.45616543766177425,0.04178093512073426,0.025,0.4575385357087545,0.02638073484563306,0.025,0.45082148850595877,0.030535358619061613,0.024999999999999998,0.45182347897267433,0.023564419977376513,0.025,0.44970816576516365,AMB
0.3553620457938927,0.025,0.506814545010674,0.1960328298758634,0.024999999999999998,0.5176653382853987,0.28788758115290525,0.025000000000000005,0.6067679210896281,0.25806511432122287,0.025,0.5754036398172102,0.177560079646611,0.024999999999999998,0.5285259907238271,0.06735597133924391,0.025,0.4715068835058523,0.061364717278642546,0.024999999999999994,0.4693793048783168,0.056571966707079056,0.025,0.4656915019239198,0.0521539308054589,0.024999999999999994,0.4649823090480747,0.04342708882713234,0.025000000000000005,0.46015979749232644,0.04307387513005084,0.025,0.4599824992733646,0.0378718889168022,0.025,0.45615285774380016,0.03491930105652399,0.025,0.45597555952483804,0.0377659877853955,0.025,0.45714572776998375,0.030610567429235704,0.025,0.45384798089730277,0.03200108875682072,0.025,0.45459263341694034,AMB
0.32336507909527135,0.025,0.5115457771529673,0.26106012549002866,0.025,0.5695538525936378,0.21934433197906178,0.025,0.561264421476099,0.23181828953164393,0.024999999999999994,0.5629892185255362,0.18456059898185867,0.024999999999999988,0.5283995179943003,0.07341726613420184,0.025,0.4732024454731857,0.09755604834802759,0.024999999999999998,0.48603410857348217,0.07062032138662556,0.025,0.4729932335748123,0.05711556912069563,0.024999999999999998,0.4670306944711423,0.038721722446522285,0.025,0.45779050229293883,0.034905150972447424,0.024999999999999998,0.4556286460097371,0.02814212314063023,0.025,0.4519325691384562,0.02691383872891331,0.024999999999999998,0.45127006479360465,0.029203840170805746,0.025,0.4525950734833096,0.0284664698880105,0.024999999999999998,0.45193256913845725,0.022288536378117133,0.025,0.4485154414650083,AMB
0.24547205909648398,0.025000000000000005,0.5013949651273849,0.2214631989527431,0.025000000000000005,0.5466691633581844,0.28789923911122084,0.025000000000000005,0.5793724120946011,0.23542704853500415,0.024999999999999994,0.5622094287225043,0.13195760726586084,0.025,0.5105074628551423,0.09175161007524184,0.024999999999999998,0.48668012955664547,0.0670744454336083,0.025,0.4701257626161833,0.051493411414144506,0.025,0.4609660853200834,0.035012360342504836,0.025,0.4559754305806792,0.03286434576268992,0.025,0.45539724497062645,0.032979687304281656,0.025,0.45524509086271847,0.03436987443916538,0.025,0.4560971538670068,0.03093826327476132,0.024999999999999998,0.4538757038915401,0.030644359926443678,0.025,0.45390613471312274,0.027732895656636187,0.025,0.45229330116929084,0.030982940511528154,0.025,0.4541191504641947,AMB
0.19483222631955227,0.025,0.5072852094814386,0.34696319298622413,0.025000000000000012,0.6279215747359139,0.3321809838501245,0.025000000000000005,0.626700089118076,0.1816590538518061,0.024999999999999994,0.5310083860355203,0.06366768085530748,0.024999999999999998,0.4706358096474766,0.05892105003486484,0.025,0.46829679463459567,0.04820011964014349,0.025,0.4614356839301426,0.03335616856080191,0.025,0.45480847472697916,0.03351691126682602,0.025,0.4546785294484862,0.03192825784156462,0.025,0.4540028140003201,0.030067118920990465,0.024999999999999998,0.45296325177237245,0.03112409131280793,0.025,0.4532491313850582,0.03091424392337337,0.025,0.4525734159368926,0.029826316251271384,0.025,0.452859295549578,0.03151013288695246,0.025,0.45265138310398884,0.030899563352734513,0.025,0.452105612934316,UM90
0.23012879929873162,0.025,0.5067724686126093,0.30021920006789743,0.02499999999999999,0.6055423503373396,0.3112153217342906,0.025000000000000005,0.6056790836870545,0.19038204158333602,0.025000000000000005,0.5429864334623149,0.12073340232210245,0.024999999999999998,0.49947035860043837,0.0705620170104125,0.025000000000000005,0.4718402041575004,0.046147231213670675,0.025,0.46168456217539394,0.038603653264693234,0.025,0.4564932703242059,0.0336661595736205,0.024999999999999998,0.45368486653585827,0.028033202744359463,0.025,0.4518693327736941,0.030995725343896677,0.025,0.45348629253062167,0.02745467636340644,0.025,0.4518125973436262,0.026172453402534178,0.025,0.4507062564573078,0.023672562599486073,0.025,0.4494013415657525,0.02649411254681683,0.024999999999999998,0.45124524304294994,0.03219407399279064,0.024999999999999998,0.4542805885515685,UM90
0.19553577060577768,0.025000000000000005,0.5084845377633278,0.3587370931470645,0.025000000000000005,0.6474964958867163,0.2749896197689869,0.025,0.5880782235534593,0.16821867725507186,0.024999999999999998,0.5273567906600823,0.10177852513151694,0.025,0.48728521476666226,0.044146606993144294,0.024999999999999998,0.46055178993684115,0.05634937451107975,0.025,0.46315087290640833,0.03892063617659151,0.025,0.4573529185896849,0.03328609622495018,0.025,0.4533543294057372,0.029714614251423355,0.024999999999999998,0.4525546115689478,0.027624247533651232,0.025,0.45166920967821683,0.02375348620807841,0.024999999999999998,0.449441424275732,0.02488256880494118,0.025,0.45012689670726574,0.027496070077024697,0.025,0.45181201643478647,0.028150864624700137,0.025,0.4520690685966121,0.02281799347535503,0.025,0.4493843015731044,UM90
0.18754575920947902,0.025000000000000005,0.5115520069910627,0.29863452486429853,0.025000000000000005,0.5971027893157421,0.2795893056748091,0.025,0.5825314813778446,0.14965003582256894,0.024999999999999998,0.5119207946549298,0.07514693340342327,0.02499999999999999,0.4754256839480841,0.0568675627935173,0.025,0.46398252835648657,0.0499615763091451,0.025,0.4633943287700027,0.044463744497073285,0.025,0.460533539872104,0.04695121451799626,0.024999999999999998,0.46189709345895247,0.03291382304913125,0.025,0.4534484084894569,0.03285712682603669,0.024999999999999998,0.4543307078691828,0.032309148781583384,0.025,0.45395639904142054,0.027034834009770255,0.025,0.4513362372470827,0.02695867041984578,0.025,0.45098866476416044,0.02378702971682274,0.025,0.4494646931082706,0.02363209575020754,0.025,0.4492775386943889,UM90
0.23304499356585526,0.025,0.5034096618976618,0.3014950843363661,0.024999999999999998,0.6028689577439986,0.3077889949637606,0.025,0.6146258795940637,0.23850548281925163,0.024999999999999994,0.5553292501119459,0.07133978732697192,0.025,0.47246024135752474,0.06970283347333815,0.024999999999999998,0.4723195947031549,0.05092096850568386,0.025,0.46399331276449035,0.04268431635979474,0.025,0.4586206105675814,0.028922588560918488,0.025,0.4520946058048447,0.03042743722015424,0.025,0.4533322963632948,0.03598101243111109,0.024999999999999998,0.4539511416425196,0.024787539920808586,0.025,0.4502099406362956,0.024848134400107403,0.025,0.4502943286289171,0.023919198222278178,0.025,0.4499005179966831,0.022670224771479286,0.025,0.4493660607100799,0.02017554108592973,0.025,0.44770643018852163,UM90
