@RELATION classical
@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 REAL
@ATTRIBUTE f3 REAL
@ATTRIBUTE f4 REAL
@ATTRIBUTE f5 REAL
@ATTRIBUTE f6 REAL
@ATTRIBUTE f7 REAL
@ATTRIBUTE f8 REAL
@ATTRIBUTE f9 REAL
@ATTRIBUTE f10 REAL
@ATTRIBUTE f11 REAL
@ATTRIBUTE f12 REAL
@ATTRIBUTE f13 REAL
@ATTRIBUTE f14 REAL
@ATTRIBUTE f15 REAL
@ATTRIBUTE f16 REAL
@ATTRIBUTE class {NAT,L4,L24}
@DATA
27590.35533,13.06914894,38.45408163,100.5380711,216.4720812,426.319797,769.5736041,1351.076142,2199.761421,3449.588832,5166.045685,7551.954315,10789.50761,14679.99492,19957.99492,27590.35533,NAT
27155.09045,13.24675325,38.98236776,94.91959799,211.2311558,420.5577889,789.7537688,1330.020101,2162.778894,3425.376884,5049.688442,7498.969849,10713.83417,14653.60302,20085.14573,27155.09045,NAT
31088.44389,15.61139896,42.0952381,104.505,241.4862843,492.6882793,895.2369077,1541.57606,2543.17207,3956.024938,5865.411471,8463.945137,12020.4788,16979.15711,23549.65586,31088.44389,NAT
29359.32832,14.27763496,43.51256281,100.6716792,219.1278195,435.7844612,834.3859649,1474.025063,2450.300752,3732.546366,5608.050125,7962.145363,11324.91228,15829.61404,21956.31078,29359.32832,NAT
19642.14485,12.15015015,31.9943662,76.55710306,170.4958217,323.264624,585.2534819,983.9888579,1599.910864,2558.746518,3831.777159,5546.857939,7810.924791,10910.31755,14877.08635,19642.14485,L4
37381.04286,22.54545455,66.40572792,148.9095238,320.3952381,628.4238095,1110.571429,1885.157143,3075.733333,4667.133333,7132.433333,10310.81905,14704.7381,20336.49524,28079.8619,37381.04286,L4
38107.0411,24.27102804,66.10983982,153.3652968,323.9269406,620.6986301,1161.438356,2002.926941,3199.406393,4858.579909,7268.452055,10784.63014,15167.56621,21217.10046,28939.40183,38107.0411,L4
44313.57849,27.24017467,73.32043011,180.7139785,385.3376344,729.1225806,1384.141935,2304.283871,3580.787097,5451.574194,8489.178495,12600.19785,17917.27312,24559.09247,33488.93333,44313.57849,L4
45897.02979,31.75965665,84.33333333,194.7106383,412.6,797.2851064,1423.097872,2355.102128,3774.47234,5857.808511,8783.212766,12791.02979,18334.17872,26247.31064,34458.10638,45897.02979,L24
53115.65904,32.15932914,97.5010395,219.0519751,438.8274428,912.3991684,1639.629938,2780.553015,4364.594595,6898.440748,10318.12474,15095.28482,21031.89189,29220.37006,39635.58004,53115.65904,L24
45476.42424,32.17180617,91.82608696,196.0865801,396.2121212,790.034632,1454.766234,2460.445887,3935.766234,6112.385281,9226.051948,13197.63203,18534.329,25314.5671,34236.12554,45476.42424,L24
49326.70638,33.46781116,90.99574468,208.0170213,432.6808511,853.8382979,1550.991489,2595.770213,4238.06383,6625.051064,9873.608511,14070.94468,19919.72766,27571.06383,37052.85106,49326.70638,L24
