 	X	Y
1	1334.500	4.500
2	918.500	7.500
3	1086.500	9.500
4	459.500	11.500
5	635.500	11.500
6	985.500	11.500
7	1165	11.500
8	1205.500	11.500
9	93.500	16.500
10	19.500	18.500
11	741.500	18.500
12	1260.500	19.500
13	1297.500	22.500
14	208.500	24.500
15	579.500	30.500
16	148.500	35.500
17	924.500	42.500
18	1029.500	42.500
19	1186.500	43.500
20	1144.500	44.500
21	650	46.500
22	707.500	46.500
23	410.500	47.500
24	447.500	47.500
25	500	48.500
26	277.500	49.500
27	344.500	50.500
28	112.500	52.500
29	48.500	53.500
30	811.500	57.500
31	1118.500	57.500
32	540.500	67.500
33	230.500	69.500
34	732.500	69.500
35	1277.500	72.500
36	1315.500	73.500
37	65.500	77.500
38	316.500	80.500
39	155.500	81.500
40	1207.500	85.500
41	616.500	86.500
42	1022.500	86.500
43	876.500	88.500
44	494.500	89.500
45	1071.500	90.500
46	1120.500	96.500
47	1366.500	97.500
48	417.500	109.500
49	940.500	110.500
50	218.500	119.500
51	557.500	120.500
52	768.500	121.500
53	375.500	123.500
54	1169.500	124
55	1218.500	124.500
56	632.500	125.500
57	310.500	127.500
58	811.500	127.500
59	885.500	128.500
60	1272.500	129.500
61	170.500	131.500
62	1059.500	131.500
63	1322.500	132.500
64	996.500	134
65	270.500	134.500
66	498.500	138.500
67	712.500	140.500
68	1100.500	141.500
69	41.500	142.500
70	657.500	143.500
71	937.500	152.500
72	212.500	155.500
73	742.500	160.500
74	425.500	161.500
75	596.500	164.500
76	367.500	166.500
77	1200.500	166.500
78	279.500	169.500
79	105.500	170.500
80	853.500	172.500
81	189.500	173.500
82	1348.500	175.500
83	50.500	176.500
84	1293.500	176.500
85	677.500	182.500
86	1145.500	186.500
87	776.500	191.500
88	988	193.500
89	944.500	194.500
90	580.500	198.500
91	506.500	199.500
92	718.500	199.500
93	1040.500	200.500
94	1078.500	202.500
95	1209.500	207.500
96	260.500	210.500
97	621.500	212.500
98	1262.500	214.500
99	862.500	215.500
100	1344.500	215.500
101	55	226.500
102	192	228.500
103	147.500	230.500
104	465.500	235.500
105	712.500	239.500
106	390.500	240.500
107	1130.500	242.500
108	8.500	243.500
109	117.500	245.500
110	324.500	246.500
111	1084	249.500
112	502.500	252.500
113	246.500	255.500
114	560	255.500
115	879.500	258.500
116	779	260.500
117	837.500	260.500
118	286.500	261.500
119	1030.500	264.500
120	598.500	265.500
121	83.500	269.500
122	1314.500	269.500
123	420.500	277.500
124	1189.500	278.500
125	899.500	279.500
126	959.500	279.500
127	1127.500	280.500
128	721.500	281.500
129	668.500	282.500
130	1059.500	283.500
131	1242	285.500
132	1345.500	288.500
133	362.500	300.500
134	1190.500	311.500
135	1306.500	311.500
136	41.500	347.500
137	115	354.500
138	159.500	358.500
139	768.500	359.500
140	661.500	361.500
141	612.500	362.500
142	202.500	363.500
143	368.500	364.500
144	273	378.500
145	698.500	378.500
146	1283.500	380.500
147	798.500	382.500
148	929.500	383.500
149	330.500	385.500
150	420.500	390.500
151	495	390.500
152	545.500	390.500
153	1176.500	392.500
154	1127	396.500
155	1214.500	396.500
156	1046.500	397.500
157	213.500	404.500
158	10.500	405.500
159	756.500	408.500
160	294	411.500
161	840.500	412.500
162	886.500	413
163	446.500	415.500
164	576.500	421.500
165	986.500	423.500
166	1310.500	428.500
167	36.500	429.500
168	100	437.500
169	149.500	441.500
170	1059.500	444
171	1270.500	447.500
172	194.500	448.500
173	647.500	450.500
174	299.500	454.500
175	462.500	458.500
176	835.500	459.500
177	400	464.500
178	1125.500	464.500
179	240.500	465.500
