 	X	Y
1	923.500	7
2	1089.500	7.500
3	1338.500	7.500
4	990.500	10.500
5	1130.500	10.500
6	464.500	11.500
7	644.500	11.500
8	1177.500	12.500
9	98.500	15.500
10	17.500	16.500
11	746	16.500
12	1212.500	16.500
13	1260.500	16.500
14	1307.500	17.500
15	218.500	28.500
16	1374.500	30.500
17	154.500	33.500
18	583.500	36.500
19	1039.500	41.500
20	345.500	43
21	650.500	44.500
22	1151.500	43.500
23	926.500	44.500
24	1194.500	46
25	456.500	48.500
26	710.500	48.500
27	510.500	49.500
28	286.500	50.500
29	411.500	51.500
30	54.500	52.500
31	813.500	53.500
32	116.500	54.500
33	1124.500	55.500
34	229.500	67.500
35	536.500	68.500
36	1327.124	68.876
37	741.500	70.500
38	1287.500	71.500
39	67.500	73.500
40	161.500	78.500
41	312.500	81.500
42	618.045	83.025
43	1212	82.500
44	883.500	84.500
45	497.500	85.500
46	1026.500	89.500
47	1126.500	93.500
48	1371.500	93.500
49	1077.500	97.500
50	949.500	111.500
51	419.500	114.500
52	223.500	117.500
53	562.500	119.500
54	313	121
55	380.500	122.500
56	638.500	122.500
57	775.500	122.500
58	1171.500	122.500
59	816.500	124.500
60	888.500	125.500
61	276	126.500
62	1227	126.500
63	1278.500	127.500
64	1328.500	129.500
65	1060.500	130.500
66	170.500	132.500
67	1000.500	134.500
68	7.500	138.500
69	505.500	138.500
70	43.124	142.124
71	723.500	145.500
72	1111.500	146
73	662.500	147.500
74	944.500	152
75	427	156
76	217.500	158.500
77	366.500	160.500
78	601.500	161
79	750.500	163.500
80	110	167.500
81	855.500	168.500
82	283.500	171.500
83	1301.500	173
84	51	176.500
85	191.500	179.500
86	1351.500	179.500
87	684.500	183.500
88	1145.500	187.500
89	785.500	193.500
90	509.500	194.500
91	947.124	194.876
92	993.500	194.500
93	725.500	198.500
94	1048.500	198.500
95	584.124	204.124
96	1090.500	203.500
97	264.500	205.500
98	626.959	208.482
99	1208.500	208.500
100	865.500	214.500
101	1348.500	214.500
102	57.500	223.500
103	151	224.500
104	198.500	226.500
105	469.500	232.500
106	1146.500	232.500
107	711.500	242.500
108	395.500	243.500
109	120.500	245.500
110	328	245.500
111	11.500	247.500
112	1090.500	249.500
113	509.500	254.500
114	251.500	259.500
115	293.500	259.500
116	567.500	259.500
117	841.500	259.500
118	880.500	259.500
119	788.500	261.500
120	1034.500	264.500
121	603.500	267.500
122	1320.500	270
123	93.500	270.500
124	424.500	275.500
125	729.500	279
126	665.500	279
127	964.500	278.500
128	1250.500	281.500
129	904	282.500
130	1071	282.500
131	1135.500	284.500
132	1358.500	293.500
133	1199.500	313.500
134	1318.500	313.500
135	44.500	343.500
136	117.500	355.500
137	671.500	356.500
138	199.500	362.500
139	160.876	363.876
140	614.500	365
